date,time,lat,lon,dist,aot_862,angstrom,Rrs_410,Rrs_443,Rrs_486,Rrs_551,Rrs_671,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2016-04-13,13:06:00.660Z,37.74709,-0.7536892,0.003674771,0.0788,1.2419001,0.0020560026,0.002556,0.003552001,0.0071440004,0.0017560013,13.272896,13.272896,0.85679996,--,585.6001,50.598,1073744128
2016-04-14,12:48:00.154Z,37.749672,-0.75163054,0.0015321247,--,--,--,--,--,--,--,--,--,--,--,--,50.822,1074790912
2016-04-15,12:30:01.427Z,37.75335,-0.7528984,0.0026948038,--,--,--,--,--,--,--,--,--,--,--,--,33.294,1074790976
2016-04-16,12:12:00.925Z,37.752693,-0.74964243,0.0037616303,--,--,--,--,--,--,--,--,--,--,--,--,46.19,1073742400
2016-04-17,11:54:00.422Z,37.746716,-0.74998343,0.0048464495,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177569
2016-04-18,13:12:01.185Z,37.747257,-0.7559655,0.0046414016,--,--,--,--,--,--,--,--,--,--,--,--,15.235996,1073742336
2016-04-19,12:54:00.675Z,37.754078,-0.74944925,0.0047924942,--,--,--,--,--,--,--,--,--,--,--,--,--,1074790984
2016-04-20,12:36:00.932Z,37.748817,-0.75293493,0.0018432864,--,--,--,--,--,--,--,--,--,--,--,--,44.25,1074790912
2016-04-21,12:18:00.428Z,37.745792,-0.75375354,0.0049554165,0.0853,0.6895001,0.0014900006,0.0020480007,0.0030199997,0.0063240007,0.001956001,15.280752,15.280752,0.98759997,--,648.0,52.994,1610615040
2016-04-22,12:00:01.703Z,37.74694,-0.7507506,0.0042455397,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177569
2016-04-23,13:18:00.692Z,37.74734,-0.75265354,0.0033184192,--,--,--,--,--,--,--,--,--,--,--,--,49.57,1073742336
2016-04-24,13:00:00.191Z,37.75093,-0.75297016,0.00032061696,0.0942,0.7192,0.0014620014,0.0020780005,0.0033180006,0.007169999,0.0024280027,17.110813,17.110813,1.1093999,--,728.6001,53.802,1074792768
2016-04-25,12:42:01.472Z,37.75075,-0.7504961,0.0023106355,0.0933,1.3217,0.0016180016,0.0019240007,0.0029340014,0.0061799996,0.0023219995,15.61027,15.61027,1.0094,--,674.6001,--,1074792776
2016-04-26,12:24:00.973Z,37.753094,-0.75399655,0.0027133424,--,--,--,--,--,--,--,--,--,--,--,--,53.815998,1073742400
2016-04-27,12:06:00.472Z,37.746708,-0.7547281,0.0043917587,--,--,--,--,--,--,--,--,--,--,--,--,46.15,1073742368
2016-04-28,13:24:01.240Z,37.749916,-0.7485273,0.0043410147,--,--,--,--,--,--,--,--,--,--,--,--,47.984,1073742336
2016-04-29,13:06:00.736Z,37.74804,-0.75102425,0.003165168,--,--,--,--,--,--,--,--,--,--,--,--,38.558,1074790912
2016-04-30,12:48:00.234Z,37.752552,-0.7495911,0.0037312144,--,--,--,--,--,--,--,--,--,--,--,--,--,1074790984
